date,action,price,shares,pnl_pct
2025-10-02,BUY,24.75,404,0.0
2025-10-22,SELL (TAKE-PROFIT),25.979999542236328,404,4.97
2025-10-23,BUY,25.860000610351562,388,0.0
2025-11-24,SELL (STOP-LOSS),25.239999771118164,388,-2.4
2025-11-25,BUY,24.56999969482422,408,0.0
2025-11-26,SELL (TREND REVERSAL),24.530000686645508,408,-0.16
2026-01-27,BUY,25.260000228881836,396,0.0
2026-03-03,SELL (TAKE-PROFIT),26.719999313354492,396,5.78
2026-03-04,BUY,26.100000381469727,386,0.0
2026-03-11,SELL (TAKE-PROFIT),27.15999984741211,386,4.06
2026-03-12,BUY,26.860000610351562,376,0.0
2026-03-30,SELL (END-OF-BACKTEST),27.280000686645508,376,1.56
