date,action,price,shares,pnl_pct
2025-07-14,BUY,208.6199951171875,47,0.0
2025-08-01,SELL (STOP-LOSS),202.3800048828125,47,-2.99
2025-08-07,BUY,220.02999877929688,45,0.0
2025-08-08,SELL (TAKE-PROFIT),229.35000610351562,45,4.24
2025-08-11,BUY,227.17999267578125,44,0.0
2025-09-03,SELL (TAKE-PROFIT),238.47000122070312,44,4.97
2025-09-04,BUY,239.77999877929688,41,0.0
2025-09-09,SELL (STOP-LOSS),234.35000610351562,41,-2.26
2025-09-10,BUY,226.7899932861328,44,0.0
2025-09-15,SELL (TAKE-PROFIT),236.6999969482422,44,4.37
2025-09-16,BUY,238.14999389648438,42,0.0
2025-09-22,SELL (TAKE-PROFIT),256.0799865722656,42,7.53
2025-09-23,BUY,254.42999267578125,39,0.0
2025-10-10,SELL (STOP-LOSS),245.27000427246094,39,-3.6
2025-10-13,BUY,247.66000366210938,40,0.0
2025-10-20,SELL (TAKE-PROFIT),262.239990234375,40,5.89
2025-10-21,BUY,262.7699890136719,38,0.0
2025-11-11,SELL (TAKE-PROFIT),275.25,38,4.75
2025-11-12,BUY,273.4700012207031,37,0.0
2025-11-17,SELL (STOP-LOSS),267.4599914550781,37,-2.2
2025-11-18,BUY,267.44000244140625,38,0.0
2025-11-28,SELL (TAKE-PROFIT),278.8500061035156,38,4.27
2025-12-01,BUY,283.1000061035156,36,0.0
2025-12-09,SELL (STOP-LOSS),277.17999267578125,36,-2.09
2025-12-10,BUY,278.7799987792969,36,0.0
2025-12-17,SELL (STOP-LOSS),271.8399963378906,36,-2.49
2025-12-18,BUY,272.19000244140625,37,0.0
2026-01-02,SELL (TREND REVERSAL),271.010009765625,37,-0.43
2026-02-24,BUY,272.1400146484375,37,0.0
2026-02-27,SELL (STOP-LOSS),264.17999267578125,37,-2.92
