date,action,price,shares,pnl_pct
2025-06-11,BUY,18.829999923706055,531,0.0
2025-06-20,SELL (STOP-LOSS),18.219999313354492,531,-3.24
2025-06-23,BUY,19.139999389648438,520,0.0
2025-06-26,SELL (TAKE-PROFIT),20.489999771118164,520,7.05
2025-06-27,BUY,20.31999969482422,493,0.0
2025-07-02,SELL (TAKE-PROFIT),21.399999618530273,493,5.31
2025-07-03,BUY,21.920000076293945,460,0.0
2025-07-10,SELL (TAKE-PROFIT),23.290000915527344,460,6.25
2025-07-11,BUY,22.729999542236328,446,0.0
2025-07-15,SELL (STOP-LOSS),22.1200008392334,446,-2.68
2025-07-16,BUY,21.6200008392334,468,0.0
2025-07-18,SELL (STOP-LOSS),20.989999771118164,468,-2.91
2025-07-21,BUY,21.40999984741211,471,0.0
2025-07-29,SELL (STOP-LOSS),19.34000015258789,471,-9.67
2025-11-17,BUY,17.889999389648438,558,0.0
2025-11-18,SELL (TREND REVERSAL),17.84000015258789,558,-0.28
2025-11-25,BUY,18.84000015258789,530,0.0
2025-12-10,SELL (STOP-LOSS),18.25,530,-3.13
2025-12-16,BUY,18.579999923706055,536,0.0
2025-12-19,SELL (TAKE-PROFIT),19.479999542236328,536,4.84
2025-12-22,BUY,19.850000381469727,504,0.0
2025-12-29,SELL (STOP-LOSS),19.440000534057617,504,-2.07
2025-12-30,BUY,19.190000534057617,520,0.0
2026-01-05,SELL (TAKE-PROFIT),19.959999084472656,520,4.01
2026-01-06,BUY,20.020000457763672,501,0.0
2026-01-09,SELL (STOP-LOSS),19.450000762939453,501,-2.85
2026-01-12,BUY,19.420000076293945,515,0.0
2026-01-20,SELL (STOP-LOSS),18.75,515,-3.45
2026-01-22,BUY,19.469999313354492,512,0.0
2026-01-29,SELL (STOP-LOSS),18.8700008392334,512,-3.08
2026-02-03,BUY,20.670000076293945,480,0.0
2026-02-09,SELL (STOP-LOSS),20.209999084472656,480,-2.23
2026-02-10,BUY,20.15999984741211,491,0.0
2026-02-11,SELL (STOP-LOSS),19.530000686645508,491,-3.12
2026-02-12,BUY,19.520000457763672,506,0.0
2026-02-17,SELL (TAKE-PROFIT),20.530000686645508,506,5.17
2026-02-18,BUY,21.229999542236328,468,0.0
2026-02-23,SELL (STOP-LOSS),20.399999618530273,468,-3.91
2026-02-24,BUY,20.200000762939453,490,0.0
2026-02-26,SELL (TAKE-PROFIT),21.31999969482422,490,5.54
2026-02-27,BUY,20.6299991607666,482,0.0
2026-03-02,SELL (STOP-LOSS),19.25,482,-6.69
