date,action,price,shares,pnl_pct
2025-06-11,BUY,68.4800033569336,146,0.0
2025-06-13,SELL (STOP-LOSS),65.19999694824219,146,-4.79
2025-06-16,BUY,67.44000244140625,147,0.0
2025-06-20,SELL (STOP-LOSS),66.06999969482422,147,-2.03
2025-06-23,BUY,67.4000015258789,147,0.0
2025-06-30,SELL (TAKE-PROFIT),70.55000305175781,147,4.67
2025-07-02,BUY,73.94999694824219,134,0.0
2025-07-15,SELL (STOP-LOSS),72.12999725341797,134,-2.46
2025-07-16,BUY,72.7699966430664,136,0.0
2025-08-11,SELL (STOP-LOSS),70.94999694824219,136,-2.5
2025-08-13,BUY,76.94000244140625,129,0.0
2025-08-20,SELL (STOP-LOSS),74.19999694824219,129,-3.56
2025-08-21,BUY,76.12000274658203,129,0.0
2025-08-22,SELL (TAKE-PROFIT),79.41000366210938,129,4.32
2025-08-25,BUY,78.69999694824219,126,0.0
2025-08-29,SELL (TAKE-PROFIT),82.22000122070312,126,4.47
2025-09-02,BUY,83.38999938964844,119,0.0
2025-09-15,SELL (TAKE-PROFIT),87.20999908447266,119,4.58
2025-09-16,BUY,86.56999969482422,115,0.0
2025-09-30,SELL (STOP-LOSS),84.18000030517578,115,-2.76
2025-10-01,BUY,81.51000213623047,122,0.0
2025-10-09,SELL (STOP-LOSS),79.54000091552734,122,-2.42
2025-10-14,BUY,86.16999816894531,115,0.0
2025-10-16,SELL (TAKE-PROFIT),90.08000183105469,115,4.54
2025-10-17,BUY,89.76000213623047,111,0.0
2025-10-23,SELL (TAKE-PROFIT),94.80999755859375,111,5.63
2025-10-24,BUY,95.05000305175781,106,0.0
2025-11-03,SELL (TAKE-PROFIT),100.30999755859375,106,5.53
2025-11-04,BUY,96.1500015258789,105,0.0
2025-11-06,SELL (STOP-LOSS),94.11000061035156,105,-2.12
2025-11-07,BUY,94.75,106,0.0
2025-11-17,SELL (TAKE-PROFIT),99.27999877929688,106,4.78
2025-11-18,BUY,99.88999938964844,101,0.0
2025-11-21,SELL (TAKE-PROFIT),105.94999694824219,101,6.07
2025-11-24,BUY,108.2300033569336,94,0.0
2025-12-05,SELL (TAKE-PROFIT),113.29000091552734,94,4.68
2025-12-08,BUY,113.80999755859375,90,0.0
2025-12-17,SELL (STOP-LOSS),110.25,90,-3.13
2025-12-18,BUY,114.95999908447266,89,0.0
2026-01-06,SELL (TAKE-PROFIT),121.4000015258789,89,5.6
2026-01-07,BUY,123.80000305175781,83,0.0
2026-01-09,SELL (TAKE-PROFIT),131.47000122070312,83,6.2
2026-01-12,BUY,137.75,75,0.0
2026-01-14,SELL (STOP-LOSS),126.76000213623047,75,-7.98
2026-01-15,BUY,126.5199966430664,81,0.0
2026-01-20,SELL (STOP-LOSS),121.51000213623047,81,-3.96
2026-01-21,BUY,123.66999816894531,82,0.0
2026-01-23,SELL (STOP-LOSS),119.58000183105469,82,-3.31
2026-01-26,BUY,117.0999984741211,87,0.0
2026-01-28,SELL (STOP-LOSS),107.94000244140625,87,-7.82
2026-03-05,BUY,118.0,85,0.0
2026-03-06,SELL (STOP-LOSS),110.77999877929688,85,-6.12
