date,action,price,shares,pnl_pct
2025-06-10,BUY,244.6300048828125,40,0.0
2025-06-12,SELL (TAKE-PROFIT),256.07000732421875,40,4.68
2025-06-13,BUY,248.6999969482422,40,0.0
2025-06-24,SELL (TAKE-PROFIT),263.7699890136719,40,6.06
2025-06-25,BUY,264.6499938964844,38,0.0
2025-06-30,SELL (TAKE-PROFIT),275.6499938964844,38,4.16
2025-07-01,BUY,264.739990234375,38,0.0
2025-07-09,SELL (TAKE-PROFIT),277.8999938964844,38,4.97
2025-07-10,BUY,275.3999938964844,37,0.0
2025-07-17,SELL (TAKE-PROFIT),286.45001220703125,37,4.01
2025-07-18,BUY,283.3399963378906,36,0.0
2025-07-29,SELL (TAKE-PROFIT),297.4200134277344,36,4.97
2025-07-30,BUY,302.6199951171875,34,0.0
2025-07-31,SELL (STOP-LOSS),293.70001220703125,34,-2.95
2025-08-01,BUY,288.6400146484375,35,0.0
2025-08-06,SELL (TAKE-PROFIT),301.6700134277344,35,4.51
2025-08-07,BUY,303.760009765625,33,0.0
2025-08-19,SELL (STOP-LOSS),294.9100036621094,33,-2.91
2025-08-20,BUY,291.1700134277344,35,0.0
2025-08-28,SELL (TAKE-PROFIT),308.6499938964844,35,6.0
2025-08-29,BUY,297.3900146484375,34,0.0
2025-09-05,SELL (TAKE-PROFIT),334.8900146484375,34,12.61
2025-09-08,BUY,345.6499938964844,30,0.0
2025-09-09,SELL (STOP-LOSS),336.6700134277344,30,-2.6
2025-09-10,BUY,369.57000732421875,28,0.0
2025-09-11,SELL (STOP-LOSS),359.6300048828125,28,-2.69
2025-09-12,BUY,359.8699951171875,28,0.0
2025-09-17,SELL (STOP-LOSS),346.1700134277344,28,-3.81
2025-09-18,BUY,345.3500061035156,30,0.0
2025-09-25,SELL (STOP-LOSS),336.1000061035156,30,-2.68
2025-09-26,BUY,334.5299987792969,30,0.0
2025-10-10,SELL (STOP-LOSS),324.6300048828125,30,-2.96
2025-10-13,BUY,356.70001220703125,28,0.0
2025-10-14,SELL (STOP-LOSS),344.1300048828125,28,-3.52
2025-10-15,BUY,351.3299865722656,29,0.0
2025-10-21,SELL (STOP-LOSS),342.6600036621094,29,-2.47
2025-10-22,BUY,340.29998779296875,30,0.0
2025-10-24,SELL (TAKE-PROFIT),354.1300048828125,30,4.06
2025-10-27,BUY,362.04998779296875,28,0.0
2025-10-29,SELL (TAKE-PROFIT),385.9800109863281,28,6.61
2025-10-30,BUY,376.4700012207031,27,0.0
2025-11-03,SELL (STOP-LOSS),362.54998779296875,27,-3.7
2025-11-04,BUY,351.94000244140625,29,0.0
2025-11-13,SELL (STOP-LOSS),339.9800109863281,29,-3.4
2025-11-20,BUY,346.82000732421875,29,0.0
2025-11-21,SELL (TREND REVERSAL),340.20001220703125,29,-1.91
2025-11-25,BUY,385.0299987792969,26,0.0
2025-11-28,SELL (TAKE-PROFIT),402.9599914550781,26,4.66
2025-12-01,BUY,386.0799865722656,26,0.0
2025-12-09,SELL (TAKE-PROFIT),406.2900085449219,26,5.23
2025-12-10,BUY,412.9700012207031,25,0.0
2025-12-12,SELL (STOP-LOSS),359.92999267578125,25,-12.84
