date,action,price,shares,pnl_pct
2025-06-10,BUY,74.91000366210938,133,0.0
2025-06-11,SELL (STOP-LOSS),72.6500015258789,133,-3.02
2025-06-12,BUY,72.54000091552734,137,0.0
2025-06-13,SELL (STOP-LOSS),69.5999984741211,137,-4.05
2025-06-16,BUY,71.2300033569336,139,0.0
2025-06-17,SELL (STOP-LOSS),69.38999938964844,139,-2.58
2025-06-18,BUY,67.76000213623047,146,0.0
2025-06-20,SELL (TREND REVERSAL),67.5199966430664,146,-0.35
2025-06-25,BUY,68.0,145,0.0
2025-06-26,SELL (TREND REVERSAL),68.43000030517578,145,0.63
2025-07-02,BUY,71.58999633789062,138,0.0
2025-07-11,SELL (TREND REVERSAL),71.79000091552734,138,0.28
2025-08-25,BUY,74.31999969482422,133,0.0
2025-08-28,SELL (STOP-LOSS),72.66000366210938,133,-2.23
2025-08-29,BUY,73.63999938964844,134,0.0
2025-09-04,SELL (TAKE-PROFIT),77.05000305175781,134,4.63
2025-09-05,BUY,76.16999816894531,130,0.0
2025-09-15,SELL (STOP-LOSS),74.55000305175781,130,-2.13
2025-09-16,BUY,74.04000091552734,133,0.0
2025-09-19,SELL (STOP-LOSS),72.2300033569336,133,-2.44
2025-09-22,BUY,72.33000183105469,136,0.0
2025-09-26,SELL (TAKE-PROFIT),76.1500015258789,136,5.28
2025-09-29,BUY,75.66000366210938,131,0.0
2025-10-10,SELL (STOP-LOSS),70.43000030517578,131,-6.91
2025-10-14,BUY,77.20999908447266,127,0.0
2025-10-20,SELL (TAKE-PROFIT),81.01000213623047,127,4.92
2025-10-21,BUY,82.66000366210938,120,0.0
2025-11-04,SELL (STOP-LOSS),79.37000274658203,120,-3.98
2025-11-05,BUY,80.87999725341797,122,0.0
2025-11-06,SELL (STOP-LOSS),78.66999816894531,122,-2.73
2025-11-07,BUY,79.02999877929688,124,0.0
2025-11-13,SELL (STOP-LOSS),76.18000030517578,124,-3.61
2025-11-26,BUY,80.9800033569336,121,0.0
2025-11-28,SELL (STOP-LOSS),79.27999877929688,121,-2.1
2025-12-01,BUY,77.23999786376953,126,0.0
2025-12-02,SELL (STOP-LOSS),74.88999938964844,126,-3.04
