date,action,price,shares,pnl_pct
2025-06-12,BUY,108.37000274658203,92,0.0
2025-06-20,SELL (STOP-LOSS),105.0999984741211,92,-3.02
2025-06-23,BUY,105.31999969482422,94,0.0
2025-06-30,SELL (TAKE-PROFIT),110.62999725341797,94,5.04
2025-07-01,BUY,111.30000305175781,90,0.0
2025-08-26,SELL (TAKE-PROFIT),119.38999938964844,90,7.27
2025-08-27,BUY,119.11000061035156,84,0.0
2025-09-04,SELL (TAKE-PROFIT),125.19000244140625,84,5.1
2025-09-05,BUY,126.0999984741211,80,0.0
2025-10-31,SELL (TREND REVERSAL),124.18000030517578,80,-1.52
2025-12-16,BUY,130.52000427246094,77,0.0
2026-01-16,SELL (TAKE-PROFIT),136.38999938964844,77,4.5
2026-01-20,BUY,134.3000030517578,75,0.0
2026-01-29,SELL (TAKE-PROFIT),141.39999389648438,75,5.29
2026-01-30,BUY,136.14999389648438,75,0.0
2026-02-06,SELL (TAKE-PROFIT),141.72999572753906,75,4.1
2026-02-09,BUY,144.72999572753906,70,0.0
2026-02-12,SELL (STOP-LOSS),140.1199951171875,70,-3.19
2026-02-13,BUY,141.02000427246094,72,0.0
2026-02-25,SELL (TAKE-PROFIT),148.1300048828125,72,5.04
2026-02-26,BUY,148.85000610351562,69,0.0
2026-02-27,SELL (STOP-LOSS),143.92999267578125,69,-3.31
2026-03-02,BUY,145.47999572753906,70,0.0
2026-03-06,SELL (STOP-LOSS),142.1199951171875,70,-2.31
2026-03-09,BUY,141.97999572753906,72,0.0
2026-03-12,SELL (STOP-LOSS),138.91000366210938,72,-2.16
2026-03-17,BUY,139.9600067138672,72,0.0
2026-03-19,SELL (STOP-LOSS),136.6199951171875,72,-2.39
