date,action,price,shares,pnl_pct
2025-06-11,BUY,996.780029296875,10,0.0
2025-06-16,SELL (TREND REVERSAL),984.3599853515625,10,-1.25
2025-06-24,BUY,1001.9199829101562,9,0.0
2025-06-25,SELL (TREND REVERSAL),986.5399780273438,9,-1.54
2025-09-08,BUY,971.8499755859375,10,0.0
2025-09-11,SELL (TREND REVERSAL),964.3200073242188,10,-0.77
2026-01-21,BUY,982.8599853515625,10,0.0
2026-01-28,SELL (STOP-LOSS),960.780029296875,10,-2.25
2026-01-29,BUY,952.8900146484375,10,0.0
2026-02-06,SELL (TAKE-PROFIT),1001.1599731445312,10,5.07
2026-02-09,BUY,997.5900268554688,10,0.0
2026-02-10,SELL (STOP-LOSS),971.22998046875,10,-2.64
2026-02-11,BUY,978.1400146484375,10,0.0
2026-02-13,SELL (TAKE-PROFIT),1018.47998046875,10,4.12
2026-02-17,BUY,1012.0499877929688,9,0.0
2026-02-19,SELL (STOP-LOSS),987.8200073242188,9,-2.39
2026-02-20,BUY,985.27001953125,10,0.0
2026-03-20,SELL (TREND REVERSAL),972.3300170898438,10,-1.31
