date,action,price,shares,pnl_pct
2025-06-16,BUY,146.02999877929688,68,0.0
2025-07-08,SELL (TAKE-PROFIT),153.24000549316406,68,4.94
2025-07-09,BUY,153.02000427246094,65,0.0
2025-07-16,SELL (STOP-LOSS),149.9199981689453,65,-2.03
2025-07-17,BUY,151.3800048828125,66,0.0
2025-08-22,SELL (TAKE-PROFIT),158.17999267578125,66,4.49
2025-08-25,BUY,158.1999969482422,63,0.0
2025-09-05,SELL (STOP-LOSS),153.66000366210938,63,-2.87
2025-09-08,BUY,154.0,65,0.0
2025-09-25,SELL (TAKE-PROFIT),160.72000122070312,65,4.36
2025-09-26,BUY,160.16000366210938,62,0.0
2025-09-29,SELL (STOP-LOSS),156.10000610351562,62,-2.53
2025-09-30,BUY,155.2899932861328,64,0.0
2025-10-01,SELL (TREND REVERSAL),154.5800018310547,64,-0.46
2026-01-12,BUY,162.33999633789062,61,0.0
2026-01-27,SELL (TAKE-PROFIT),169.0500030517578,61,4.13
2026-01-28,BUY,169.92999267578125,59,0.0
2026-01-30,SELL (TAKE-PROFIT),176.89999389648438,59,4.1
2026-02-02,BUY,174.02999877929688,58,0.0
2026-02-04,SELL (TAKE-PROFIT),181.22999572753906,58,4.14
2026-02-05,BUY,179.22999572753906,56,0.0
2026-02-27,SELL (TAKE-PROFIT),186.75999450683594,56,4.2
2026-03-02,BUY,189.60000610351562,53,0.0
2026-03-17,SELL (TAKE-PROFIT),197.97000122070312,53,4.41
2026-03-18,BUY,198.61000061035156,51,0.0
2026-03-24,SELL (TAKE-PROFIT),206.7899932861328,51,4.12
2026-03-25,BUY,205.14999389648438,50,0.0
2026-03-30,SELL (END-OF-BACKTEST),211.35000610351562,50,3.02
