date,action,price,shares,pnl_pct
2025-06-12,BUY,175.6999969482422,56,0.0
2025-06-20,SELL (STOP-LOSS),166.63999938964844,56,-5.16
2025-06-23,BUY,165.19000244140625,60,0.0
2025-06-26,SELL (TAKE-PROFIT),173.5399932861328,60,5.05
2025-06-27,BUY,178.52999877929688,56,0.0
2025-07-08,SELL (STOP-LOSS),174.36000061035156,56,-2.34
2025-07-09,BUY,176.6199951171875,56,0.0
2025-07-18,SELL (TAKE-PROFIT),185.05999755859375,56,4.78
2025-07-21,BUY,190.10000610351562,52,0.0
2025-08-08,SELL (TAKE-PROFIT),201.4199981689453,52,5.95
2025-08-11,BUY,201.0,50,0.0
2025-08-28,SELL (TAKE-PROFIT),211.63999938964844,50,5.29
2025-08-29,BUY,212.91000366210938,47,0.0
2025-09-03,SELL (TAKE-PROFIT),230.66000366210938,47,8.34
2025-09-04,BUY,232.3000030517578,43,0.0
2025-09-15,SELL (TAKE-PROFIT),251.61000061035156,43,8.31
2025-09-16,BUY,251.16000366210938,41,0.0
2025-09-25,SELL (STOP-LOSS),245.7899932861328,41,-2.14
2025-09-26,BUY,246.5399932861328,41,0.0
2025-10-09,SELL (STOP-LOSS),241.52999877929688,41,-2.03
2025-10-10,BUY,236.57000732421875,43,0.0
2025-10-15,SELL (TAKE-PROFIT),251.02999877929688,43,6.11
2025-10-16,BUY,251.4600067138672,41,0.0
2025-10-27,SELL (TAKE-PROFIT),269.2699890136719,41,7.08
2025-10-28,BUY,267.4700012207031,38,0.0
2025-10-30,SELL (TAKE-PROFIT),281.4800109863281,38,5.24
2025-10-31,BUY,281.19000244140625,37,0.0
2025-11-19,SELL (TAKE-PROFIT),292.80999755859375,37,4.13
2025-11-20,BUY,289.45001220703125,36,0.0
2025-11-24,SELL (TAKE-PROFIT),318.5799865722656,36,10.06
2025-11-25,BUY,323.44000244140625,32,0.0
2025-12-01,SELL (STOP-LOSS),314.8900146484375,32,-2.64
2025-12-02,BUY,315.80999755859375,33,0.0
2025-12-12,SELL (STOP-LOSS),309.2900085449219,33,-2.06
2025-12-15,BUY,308.2200012207031,34,0.0
2025-12-17,SELL (STOP-LOSS),296.7200012207031,34,-3.73
2025-12-18,BUY,302.4599914550781,34,0.0
2026-01-02,SELL (TAKE-PROFIT),315.1499938964844,34,4.2
2026-01-05,BUY,316.5400085449219,33,0.0
2026-01-12,SELL (TAKE-PROFIT),331.8599853515625,33,4.84
2026-01-13,BUY,335.9700012207031,31,0.0
2026-01-20,SELL (STOP-LOSS),322.0,31,-4.16
2026-01-21,BUY,328.3800048828125,32,0.0
2026-02-02,SELL (TAKE-PROFIT),343.69000244140625,32,4.66
2026-02-03,BUY,339.7099914550781,31,0.0
2026-02-05,SELL (STOP-LOSS),331.25,31,-2.49
2026-02-06,BUY,322.8599853515625,32,0.0
2026-02-11,SELL (STOP-LOSS),310.9599914550781,32,-3.69
