date,action,price,shares,pnl_pct
2025-06-11,BUY,268.1499938964844,37,0.0
2025-06-24,SELL (TAKE-PROFIT),281.260009765625,37,4.89
2025-06-25,BUY,284.05999755859375,35,0.0
2025-07-03,SELL (TAKE-PROFIT),296.0,35,4.2
2025-07-07,BUY,291.9700012207031,34,0.0
2025-07-08,SELL (STOP-LOSS),282.7799987792969,34,-3.15
2025-07-09,BUY,283.1600036621094,35,0.0
2025-07-23,SELL (TAKE-PROFIT),296.760009765625,35,4.8
2025-07-24,BUY,296.54998779296875,34,0.0
2025-08-01,SELL (STOP-LOSS),289.3699951171875,34,-2.42
2025-08-04,BUY,294.260009765625,34,0.0
2025-08-07,SELL (STOP-LOSS),286.94000244140625,34,-2.49
2025-08-08,BUY,288.760009765625,34,0.0
2025-08-28,SELL (TAKE-PROFIT),301.07000732421875,34,4.26
2025-08-29,BUY,301.4200134277344,33,0.0
2025-09-05,SELL (STOP-LOSS),294.3800048828125,33,-2.34
2025-09-08,BUY,292.9100036621094,34,0.0
2025-09-11,SELL (TAKE-PROFIT),305.55999755859375,34,4.32
2025-09-12,BUY,306.9100036621094,32,0.0
2025-10-13,SELL (TREND REVERSAL),307.9700012207031,32,0.35
2025-10-14,BUY,302.0799865722656,33,0.0
2025-10-17,SELL (TREND REVERSAL),297.55999755859375,33,-1.5
2025-10-28,BUY,305.3599853515625,33,0.0
2025-10-29,SELL (TREND REVERSAL),305.510009765625,33,0.05
2025-11-28,BUY,313.0799865722656,32,0.0
2025-12-09,SELL (STOP-LOSS),300.510009765625,32,-4.01
2025-12-11,BUY,317.3800048828125,31,0.0
2026-01-05,SELL (TAKE-PROFIT),334.0400085449219,31,5.25
2026-01-06,BUY,334.6099853515625,30,0.0
2026-01-07,SELL (STOP-LOSS),326.989990234375,30,-2.28
2026-01-08,BUY,329.7900085449219,30,0.0
2026-01-13,SELL (STOP-LOSS),310.8999938964844,30,-5.73
