date,action,price,shares,pnl_pct
2025-07-07,BUY,772.8699951171875,12,0.0
2025-07-08,SELL (TREND REVERSAL),777.6599731445312,12,0.62
2025-07-09,BUY,786.9199829101562,12,0.0
2025-07-17,SELL (STOP-LOSS),761.5,12,-3.23
2025-07-21,BUY,762.1799926757812,13,0.0
2025-07-22,SELL (TREND REVERSAL),776.4400024414062,13,1.87
2025-07-23,BUY,798.8900146484375,12,0.0
2025-07-29,SELL (STOP-LOSS),762.9500122070312,12,-4.5
2025-09-22,BUY,754.9500122070312,13,0.0
2025-09-25,SELL (STOP-LOSS),714.5900268554688,13,-5.35
2025-10-01,BUY,825.4199829101562,11,0.0
2025-10-17,SELL (STOP-LOSS),802.8300170898438,11,-2.74
2025-10-20,BUY,808.9600219726562,12,0.0
2025-10-30,SELL (TAKE-PROFIT),844.5,12,4.39
2025-10-31,BUY,862.8599853515625,11,0.0
2025-11-04,SELL (TAKE-PROFIT),906.8599853515625,11,5.1
2025-11-05,BUY,925.8099975585938,10,0.0
2025-11-10,SELL (TAKE-PROFIT),966.6400146484375,10,4.41
2025-11-11,BUY,988.6199951171875,10,0.0
2025-11-18,SELL (TAKE-PROFIT),1030.050048828125,10,4.19
2025-11-19,BUY,1049.5999755859375,9,0.0
2025-11-25,SELL (TAKE-PROFIT),1109.93994140625,9,5.75
2025-11-26,BUY,1104.3399658203125,9,0.0
2025-11-28,SELL (STOP-LOSS),1075.469970703125,9,-2.61
2025-12-01,BUY,1057.8900146484375,9,0.0
2025-12-03,SELL (STOP-LOSS),1033.56005859375,9,-2.3
2025-12-04,BUY,1014.489990234375,9,0.0
2025-12-09,SELL (STOP-LOSS),982.219970703125,9,-3.18
2025-12-10,BUY,993.6400146484375,10,0.0
2025-12-15,SELL (TAKE-PROFIT),1062.18994140625,10,6.9
2025-12-16,BUY,1054.2900390625,9,0.0
2026-01-07,SELL (TAKE-PROFIT),1108.0899658203125,9,5.1
2026-01-08,BUY,1085.18994140625,9,0.0
2026-01-15,SELL (STOP-LOSS),1032.969970703125,9,-4.81
2026-01-22,BUY,1087.3800048828125,9,0.0
2026-01-23,SELL (STOP-LOSS),1064.2900390625,9,-2.12
2026-01-26,BUY,1062.75,9,0.0
2026-01-27,SELL (STOP-LOSS),1039.510009765625,9,-2.19
2026-02-05,BUY,1020.8400268554688,9,0.0
2026-02-06,SELL (TREND REVERSAL),1058.1800537109375,9,3.66
