date,action,price,shares,pnl_pct
2025-06-11,BUY,694.1400146484375,14,0.0
2025-06-26,SELL (TAKE-PROFIT),726.0900268554688,14,4.6
2025-06-27,BUY,733.6300048828125,13,0.0
2025-07-02,SELL (STOP-LOSS),713.5700073242188,13,-2.73
2025-07-03,BUY,719.010009765625,13,0.0
2025-07-16,SELL (STOP-LOSS),702.9099731445312,13,-2.24
2025-07-17,BUY,701.4099731445312,14,0.0
2025-07-31,SELL (TAKE-PROFIT),773.4400024414062,14,10.27
2025-08-01,BUY,750.010009765625,13,0.0
2025-08-12,SELL (TAKE-PROFIT),790.0,13,5.33
2025-08-13,BUY,780.0800170898438,13,0.0
2025-08-19,SELL (STOP-LOSS),751.47998046875,13,-3.67
2025-08-20,BUY,747.719970703125,13,0.0
2025-09-03,SELL (TREND REVERSAL),737.0499877929688,13,-1.43
2025-09-04,BUY,748.6500244140625,13,0.0
2025-09-16,SELL (TAKE-PROFIT),779.0,13,4.05
2025-09-17,BUY,775.719970703125,13,0.0
2025-09-23,SELL (STOP-LOSS),755.4000244140625,13,-2.62
2025-09-24,BUY,760.6599731445312,13,0.0
2025-09-26,SELL (STOP-LOSS),743.75,13,-2.22
2025-12-30,BUY,665.9500122070312,15,0.0
2026-01-02,SELL (STOP-LOSS),650.4099731445312,15,-2.33
2026-01-06,BUY,660.6199951171875,15,0.0
2026-01-08,SELL (STOP-LOSS),646.0599975585938,15,-2.2
2026-01-09,BUY,653.0599975585938,15,0.0
2026-01-13,SELL (STOP-LOSS),631.0900268554688,15,-3.36
2026-01-23,BUY,658.760009765625,15,0.0
2026-01-29,SELL (TAKE-PROFIT),738.3099975585938,15,12.08
2026-01-30,BUY,716.5,14,0.0
2026-02-03,SELL (STOP-LOSS),691.7000122070312,14,-3.46
2026-02-04,BUY,668.989990234375,15,0.0
2026-02-12,SELL (STOP-LOSS),649.8099975585938,15,-2.87
2026-02-27,BUY,648.1799926757812,15,0.0
2026-03-02,SELL (TREND REVERSAL),653.5599975585938,15,0.83
