date,action,price,shares,pnl_pct
2025-06-10,BUY,470.9200134277344,21,0.0
2025-06-24,SELL (TAKE-PROFIT),490.1099853515625,21,4.07
2025-06-25,BUY,492.2699890136719,20,0.0
2025-07-25,SELL (TAKE-PROFIT),513.7100219726562,20,4.36
2025-07-28,BUY,512.5,19,0.0
2025-07-31,SELL (TAKE-PROFIT),533.5,19,4.1
2025-08-01,BUY,524.1099853515625,19,0.0
2025-08-19,SELL (STOP-LOSS),509.7699890136719,19,-2.74
2025-08-20,BUY,505.7200012207031,19,0.0
2025-08-22,SELL (TREND REVERSAL),507.2300109863281,19,0.3
2025-08-25,BUY,504.260009765625,20,0.0
2025-08-26,SELL (TREND REVERSAL),502.0400085449219,20,-0.44
2025-08-29,BUY,506.69000244140625,19,0.0
2025-09-02,SELL (TREND REVERSAL),505.1199951171875,19,-0.31
2025-10-09,BUY,522.4000244140625,19,0.0
2025-10-10,SELL (STOP-LOSS),510.9599914550781,19,-2.19
2025-10-14,BUY,513.5700073242188,19,0.0
2025-10-17,SELL (TREND REVERSAL),513.5800170898438,19,0.0
2025-10-20,BUY,516.7899780273438,19,0.0
2025-10-28,SELL (TAKE-PROFIT),542.0700073242188,19,4.89
2025-10-29,BUY,541.5499877929688,18,0.0
2025-10-30,SELL (STOP-LOSS),525.760009765625,18,-2.92
2025-10-31,BUY,517.8099975585938,19,0.0
2025-11-05,SELL (STOP-LOSS),507.1600036621094,19,-2.06
