date,action,price,shares,pnl_pct
2025-06-10,BUY,4.760000228881836,2100,0.0
2025-07-03,SELL (TAKE-PROFIT),4.989999771118164,2100,4.83
2025-07-07,BUY,5.039999961853027,1993,0.0
2025-07-08,SELL (STOP-LOSS),4.739999771118164,1993,-5.95
2025-07-09,BUY,4.739999771118164,2107,0.0
2025-07-14,SELL (STOP-LOSS),4.610000133514404,2107,-2.74
2025-07-15,BUY,4.519999980926514,2203,0.0
2025-07-16,SELL (TREND REVERSAL),4.429999828338623,2203,-1.99
2025-08-22,BUY,5.539999961853027,1794,0.0
2025-08-29,SELL (TAKE-PROFIT),5.900000095367432,1794,6.5
2025-09-02,BUY,6.119999885559082,1634,0.0
2025-09-08,SELL (TAKE-PROFIT),6.519999980926514,1634,6.54
2025-09-09,BUY,6.340000152587891,1588,0.0
2025-09-15,SELL (TAKE-PROFIT),6.739999771118164,1588,6.31
2025-09-16,BUY,6.429999828338623,1576,0.0
2025-09-22,SELL (TAKE-PROFIT),6.860000133514404,1576,6.69
2025-09-23,BUY,6.940000057220459,1470,0.0
2025-10-01,SELL (TAKE-PROFIT),7.28000020980835,1470,4.9
2025-10-02,BUY,7.349999904632568,1394,0.0
2025-10-09,SELL (STOP-LOSS),6.820000171661377,1394,-7.21
2025-10-10,BUY,6.840000152587891,1488,0.0
2025-10-13,SELL (TAKE-PROFIT),7.170000076293945,1488,4.82
2025-10-14,BUY,7.119999885559082,1436,0.0
2025-10-16,SELL (TAKE-PROFIT),7.489999771118164,1436,5.2
2025-10-17,BUY,6.960000038146973,1477,0.0
2025-10-21,SELL (STOP-LOSS),6.349999904632568,1477,-8.76
2025-10-30,BUY,7.360000133514404,1384,0.0
2025-11-04,SELL (STOP-LOSS),6.639999866485596,1384,-9.78
2025-11-06,BUY,6.920000076293945,1458,0.0
2025-11-11,SELL (TAKE-PROFIT),7.300000190734863,1458,5.49
2025-11-12,BUY,7.579999923706055,1338,0.0
2025-11-13,SELL (STOP-LOSS),7.269999980926514,1338,-4.09
2025-11-14,BUY,7.170000076293945,1409,0.0
2025-11-17,SELL (STOP-LOSS),7.019999980926514,1409,-2.09
2025-11-19,BUY,7.090000152587891,1422,0.0
2025-11-20,SELL (STOP-LOSS),6.699999809265137,1422,-5.5
2025-11-25,BUY,7.349999904632568,1364,0.0
2025-11-26,SELL (TAKE-PROFIT),7.840000152587891,1364,6.67
2025-11-28,BUY,8.350000381469727,1209,0.0
2025-12-02,SELL (STOP-LOSS),8.029999732971191,1209,-3.83
2025-12-03,BUY,7.869999885559082,1277,0.0
2025-12-05,SELL (STOP-LOSS),7.690000057220459,1277,-2.29
2025-12-08,BUY,7.460000038146973,1344,0.0
2025-12-09,SELL (TAKE-PROFIT),7.800000190734863,1344,4.56
2025-12-10,BUY,7.829999923706055,1287,0.0
2025-12-11,SELL (TAKE-PROFIT),8.550000190734863,1287,9.2
2025-12-12,BUY,8.380000114440918,1213,0.0
2025-12-19,SELL (TAKE-PROFIT),8.819999694824219,1213,5.25
2025-12-22,BUY,9.180000305175781,1113,0.0
2025-12-29,SELL (STOP-LOSS),8.890000343322754,1113,-3.16
2025-12-30,BUY,8.8100004196167,1156,0.0
2026-01-02,SELL (STOP-LOSS),8.5600004196167,1156,-2.84
2026-01-05,BUY,9.069999694824219,1120,0.0
2026-01-06,SELL (TAKE-PROFIT),9.520000457763672,1120,4.96
2026-01-07,BUY,9.359999656677246,1091,0.0
2026-01-09,SELL (TAKE-PROFIT),10.0,1091,6.84
2026-01-12,BUY,10.550000190734863,974,0.0
2026-01-13,SELL (STOP-LOSS),10.25,974,-2.84
2026-01-14,BUY,10.15999984741211,1009,0.0
2026-01-16,SELL (TAKE-PROFIT),11.0600004196167,1009,8.86
2026-01-20,BUY,11.199999809265137,923,0.0
2026-01-22,SELL (TAKE-PROFIT),12.619999885559082,923,12.68
2026-01-23,BUY,12.850000381469727,815,0.0
2026-01-26,SELL (STOP-LOSS),12.5,815,-2.72
2026-01-27,BUY,12.579999923706055,830,0.0
2026-01-29,SELL (STOP-LOSS),12.100000381469727,830,-3.82
2026-01-30,BUY,10.029999732971191,1037,0.0
2026-02-03,SELL (TAKE-PROFIT),10.489999771118164,1037,4.59
2026-02-04,BUY,10.220000267028809,1023,0.0
2026-02-05,SELL (STOP-LOSS),9.430000305175781,1023,-7.73
2026-02-09,BUY,11.369999885559082,912,0.0
2026-02-12,SELL (STOP-LOSS),10.329999923706055,912,-9.15
2026-02-13,BUY,11.0600004196167,929,0.0
2026-02-17,SELL (STOP-LOSS),10.770000457763672,929,-2.62
2026-02-18,BUY,11.220000267028809,913,0.0
2026-02-19,SELL (TAKE-PROFIT),11.899999618530273,913,6.06
2026-02-20,BUY,12.220000267028809,844,0.0
2026-02-26,SELL (TAKE-PROFIT),13.140000343322754,844,7.53
2026-02-27,BUY,13.420000076293945,774,0.0
2026-03-03,SELL (STOP-LOSS),11.90999984741211,774,-11.25
2026-03-04,BUY,11.779999732971191,872,0.0
2026-03-05,SELL (STOP-LOSS),11.170000076293945,872,-5.18
2026-03-06,BUY,11.210000038146973,911,0.0
2026-03-12,SELL (STOP-LOSS),10.720000267028809,911,-4.37
