date,action,price,shares,pnl_pct
2025-06-11,BUY,78.7300033569336,127,0.0
2025-06-16,SELL (STOP-LOSS),77.0199966430664,127,-2.17
2025-06-17,BUY,74.33999633789062,134,0.0
2025-06-23,SELL (STOP-LOSS),69.72000122070312,134,-6.21
2025-06-24,BUY,70.7300033569336,140,0.0
2025-06-25,SELL (STOP-LOSS),67.3499984741211,140,-4.78
2025-07-01,BUY,69.81999969482422,141,0.0
2025-07-07,SELL (TREND REVERSAL),69.31999969482422,141,-0.72
2025-07-11,BUY,68.93000030517578,143,0.0
2025-07-14,SELL (TREND REVERSAL),68.94000244140625,143,0.01
2025-09-24,BUY,58.7400016784668,167,0.0
2025-09-25,SELL (STOP-LOSS),56.040000915527344,167,-4.6
2025-10-02,BUY,58.7400016784668,167,0.0
2025-10-10,SELL (STOP-LOSS),56.93000030517578,167,-3.08
2025-10-13,BUY,57.5,170,0.0
2025-10-16,SELL (STOP-LOSS),56.09000015258789,170,-2.45
2025-10-17,BUY,54.369998931884766,179,0.0
2025-10-20,SELL (TREND REVERSAL),55.7400016784668,179,2.52
2026-01-02,BUY,52.38999938964844,186,0.0
2026-01-05,SELL (TAKE-PROFIT),55.11000061035156,186,5.19
2026-01-06,BUY,56.2599983215332,174,0.0
2026-01-09,SELL (TAKE-PROFIT),58.810001373291016,174,4.53
2026-01-12,BUY,59.86000061035156,165,0.0
2026-01-15,SELL (STOP-LOSS),57.119998931884766,165,-4.58
2026-01-16,BUY,62.33000183105469,157,0.0
2026-01-20,SELL (STOP-LOSS),60.68000030517578,157,-2.65
2026-01-21,BUY,59.31999969482422,165,0.0
2026-01-22,SELL (TAKE-PROFIT),62.22999954223633,165,4.91
2026-01-23,BUY,62.2599983215332,158,0.0
2026-01-28,SELL (STOP-LOSS),60.33000183105469,158,-3.1
2026-01-29,BUY,59.33000183105469,165,0.0
2026-02-03,SELL (STOP-LOSS),50.29999923706055,165,-15.22
