date,action,price,shares,pnl_pct
2025-06-12,BUY,71.44000244140625,139,0.0
2025-06-25,SELL (STOP-LOSS),69.44000244140625,139,-2.8
2025-06-26,BUY,70.98999786376953,140,0.0
2025-08-20,SELL (TREND REVERSAL),72.08999633789062,140,1.55
2025-08-21,BUY,72.48999786376953,137,0.0
2025-09-08,SELL (TREND REVERSAL),71.70999908447266,137,-1.08
2025-09-11,BUY,72.0199966430664,138,0.0
2025-09-12,SELL (TREND REVERSAL),71.33999633789062,138,-0.94
2025-09-17,BUY,71.41000366210938,139,0.0
2025-09-18,SELL (TREND REVERSAL),71.44000244140625,139,0.04
2025-09-25,BUY,72.88999938964844,136,0.0
2025-09-29,SELL (TREND REVERSAL),72.44999694824219,136,-0.6
2025-10-20,BUY,72.81999969482422,136,0.0
2025-10-24,SELL (TAKE-PROFIT),75.83999633789062,136,4.15
2025-10-27,BUY,75.51000213623047,132,0.0
2025-11-04,SELL (STOP-LOSS),73.73999786376953,132,-2.34
2025-11-05,BUY,74.61000061035156,133,0.0
2025-11-21,SELL (TREND REVERSAL),73.2699966430664,133,-1.8
2025-12-01,BUY,74.30999755859375,134,0.0
2025-12-08,SELL (STOP-LOSS),72.69999694824219,134,-2.17
2026-01-29,BUY,77.47000122070312,128,0.0
2026-02-02,SELL (STOP-LOSS),75.7300033569336,128,-2.25
2026-02-03,BUY,77.62999725341797,127,0.0
2026-02-05,SELL (STOP-LOSS),74.62999725341797,127,-3.86
2026-02-06,BUY,75.29000091552734,131,0.0
2026-02-11,SELL (TAKE-PROFIT),80.2300033569336,131,6.56
2026-02-12,BUY,78.22000122070312,127,0.0
2026-02-25,SELL (TAKE-PROFIT),82.27999877929688,127,5.19
2026-02-26,BUY,81.18000030517578,123,0.0
2026-03-06,SELL (TAKE-PROFIT),84.69999694824219,123,4.34
2026-03-09,BUY,85.58999633789062,117,0.0
2026-03-13,SELL (TAKE-PROFIT),89.43000030517578,117,4.49
2026-03-16,BUY,90.4800033569336,111,0.0
2026-04-01,SELL (END-OF-BACKTEST),92.58000183105469,111,2.32
