date,action,price,shares,pnl_pct
2025-06-10,BUY,97.31999969482422,102,0.0
2025-06-12,SELL (STOP-LOSS),94.83000183105469,102,-2.56
2025-06-24,BUY,98.0,101,0.0
2025-06-26,SELL (STOP-LOSS),96.0199966430664,101,-2.02
2025-06-30,BUY,97.77999877929688,101,0.0
2025-07-02,SELL (TREND REVERSAL),97.61000061035156,101,-0.17
2025-08-08,BUY,103.7300033569336,95,0.0
2025-08-13,SELL (STOP-LOSS),100.98999786376953,95,-2.64
2025-08-14,BUY,100.8499984741211,98,0.0
2025-08-21,SELL (STOP-LOSS),97.95999908447266,98,-2.87
2025-08-22,BUY,96.83000183105469,102,0.0
2025-08-25,SELL (TREND REVERSAL),96.06999969482422,102,-0.78
2025-09-04,BUY,100.93000030517578,97,0.0
2025-10-14,SELL (TAKE-PROFIT),107.20999908447266,97,6.22
2025-10-15,BUY,109.02999877929688,91,0.0
2025-10-16,SELL (STOP-LOSS),106.47000122070312,91,-2.35
2025-10-17,BUY,107.7300033569336,92,0.0
2025-10-27,SELL (STOP-LOSS),104.47000122070312,92,-3.03
2025-10-28,BUY,103.16999816894531,95,0.0
2025-10-31,SELL (TREND REVERSAL),101.18000030517578,95,-1.93
2025-11-12,BUY,103.44000244140625,95,0.0
2025-11-14,SELL (TREND REVERSAL),102.4800033569336,95,-0.93
2025-12-02,BUY,112.41000366210938,87,0.0
2026-01-12,SELL (TAKE-PROFIT),117.97000122070312,87,4.95
2026-01-13,BUY,120.36000061035156,82,0.0
2026-01-22,SELL (STOP-LOSS),117.83000183105469,82,-2.1
2026-01-23,BUY,117.7300033569336,84,0.0
2026-02-02,SELL (TAKE-PROFIT),124.05999755859375,84,5.38
2026-02-03,BUY,127.70999908447266,77,0.0
2026-02-12,SELL (TAKE-PROFIT),133.63999938964844,77,4.64
2026-02-13,BUY,133.88999938964844,74,0.0
2026-02-17,SELL (STOP-LOSS),128.85000610351562,74,-3.76
2026-02-18,BUY,126.62000274658203,78,0.0
2026-02-20,SELL (STOP-LOSS),122.98999786376953,78,-2.87
2026-02-23,BUY,125.80999755859375,78,0.0
2026-03-18,SELL (STOP-LOSS),121.9800033569336,78,-3.04
