date,action,price,shares,pnl_pct
2025-06-23,BUY,111.73999786376953,89,0.0
2025-06-24,SELL (STOP-LOSS),108.33999633789062,89,-3.04
2025-06-25,BUY,108.37000274658203,91,0.0
2025-07-08,SELL (TAKE-PROFIT),114.19000244140625,91,5.37
2025-07-09,BUY,113.80000305175781,88,0.0
2025-07-18,SELL (STOP-LOSS),107.7699966430664,88,-5.3
2025-07-24,BUY,110.79000091552734,89,0.0
2025-08-04,SELL (STOP-LOSS),107.37000274658203,89,-3.09
2025-09-11,BUY,112.13999938964844,88,0.0
2025-09-26,SELL (TAKE-PROFIT),117.22000122070312,88,4.53
2025-09-29,BUY,114.22000122070312,87,0.0
2025-10-02,SELL (STOP-LOSS),111.29000091552734,87,-2.57
2025-10-03,BUY,113.26000213623047,87,0.0
2025-10-10,SELL (STOP-LOSS),110.7300033569336,87,-2.23
2025-10-14,BUY,112.29000091552734,88,0.0
2025-10-17,SELL (TREND REVERSAL),112.23999786376953,88,-0.04
2025-10-20,BUY,112.69999694824219,88,0.0
2025-11-07,SELL (TAKE-PROFIT),117.22000122070312,88,4.01
2025-11-10,BUY,118.22000122070312,84,0.0
2025-11-25,SELL (STOP-LOSS),114.51000213623047,84,-3.14
2025-11-28,BUY,115.91999816894531,85,0.0
2025-12-17,SELL (TREND REVERSAL),117.41000366210938,85,1.29
2025-12-18,BUY,116.54000091552734,85,0.0
2026-01-02,SELL (TAKE-PROFIT),122.6500015258789,85,5.24
2026-01-05,BUY,125.36000061035156,79,0.0
2026-01-06,SELL (STOP-LOSS),121.05000305175781,79,-3.44
2026-01-07,BUY,118.48999786376953,84,0.0
2026-01-09,SELL (TAKE-PROFIT),124.61000061035156,84,5.16
2026-01-12,BUY,124.02999877929688,80,0.0
2026-01-14,SELL (TAKE-PROFIT),130.1999969482422,80,4.97
2026-01-15,BUY,129.1300048828125,78,0.0
2026-01-23,SELL (TAKE-PROFIT),134.97000122070312,78,4.52
2026-01-26,BUY,134.83999633789062,75,0.0
2026-01-29,SELL (TAKE-PROFIT),140.50999450683594,75,4.2
2026-01-30,BUY,141.39999389648438,71,0.0
2026-02-02,SELL (STOP-LOSS),138.39999389648438,71,-2.12
2026-02-03,BUY,143.72999572753906,70,0.0
2026-02-09,SELL (TAKE-PROFIT),151.2100067138672,70,5.2
2026-02-10,BUY,151.58999633789062,67,0.0
2026-02-13,SELL (STOP-LOSS),148.4499969482422,67,-2.07
2026-02-17,BUY,146.19000244140625,69,0.0
2026-02-27,SELL (TAKE-PROFIT),152.5,69,4.32
2026-03-02,BUY,154.22000122070312,66,0.0
2026-03-04,SELL (STOP-LOSS),149.82000732421875,66,-2.85
2026-03-05,BUY,150.75999450683594,67,0.0
2026-03-16,SELL (TAKE-PROFIT),157.22999572753906,67,4.29
2026-03-17,BUY,158.80999755859375,64,0.0
2026-03-24,SELL (TAKE-PROFIT),165.3800048828125,64,4.14
2026-03-25,BUY,163.25999450683594,62,0.0
2026-03-27,SELL (TAKE-PROFIT),170.99000549316406,62,4.73
2026-03-30,BUY,172.19500732421875,59,0.0
2026-03-30,SELL (END-OF-BACKTEST),172.19500732421875,59,0.0
